frame,expression
5,neutral
10,neutral
15,neutral
20,neutral
25,neutral
30,neutral
35,smile
40,neutral
45,neutral
50,neutral
55,neutral
60,neutral
65,neutral
70,neutral
75,neutral
80,neutral
85,neutral
90,neutral
95,neutral
100,neutral
105,neutral
110,neutral
115,neutral
120,neutral
125,neutral
130,neutral
135,neutral
140,neutral
145,neutral
150,neutral
155,neutral
160,neutral
165,neutral
170,neutral
175,neutral
180,neutral
185,neutral
190,neutral
195,neutral
200,neutral
205,neutral
210,neutral
215,neutral
220,neutral
225,neutral
230,neutral
235,neutral
240,neutral
245,neutral
250,neutral
255,neutral
260,neutral
265,neutral
270,neutral
275,neutral
280,neutral
285,neutral
290,neutral
295,neutral
300,neutral
305,neutral
310,neutral
315,neutral
320,neutral
325,neutral
330,neutral
335,neutral
340,neutral
345,neutral
350,neutral
355,neutral
360,neutral
365,neutral
370,neutral
375,neutral
380,neutral
385,neutral
390,neutral
395,neutral
400,neutral
405,neutral
410,neutral
415,neutral
420,neutral
425,neutral
430,neutral
435,neutral
440,neutral
445,neutral
450,neutral
455,neutral
460,neutral
465,neutral
470,neutral
475,neutral
480,neutral
485,neutral
490,neutral
495,neutral
500,neutral
505,neutral
510,neutral
515,neutral
520,neutral
525,neutral
530,neutral
535,neutral
540,neutral
545,neutral
550,neutral
555,neutral
560,neutral
565,neutral
570,neutral
575,neutral
580,neutral
585,neutral
590,neutral
595,neutral
600,neutral
605,neutral
610,neutral
615,neutral
620,neutral
625,neutral
630,neutral
635,neutral
640,neutral
645,neutral
650,neutral
655,neutral
660,neutral
665,neutral
670,neutral
675,neutral
680,neutral
685,neutral
690,neutral
695,neutral
700,neutral
705,neutral
710,neutral
715,neutral
720,neutral
725,neutral
730,neutral
735,neutral
740,neutral
745,neutral
750,neutral
755,neutral
760,neutral
765,neutral
770,neutral
775,neutral
780,neutral
785,neutral
790,neutral
795,neutral
800,neutral
805,neutral
810,neutral
815,neutral
820,neutral
825,neutral
830,neutral
835,neutral
840,neutral
845,neutral
850,neutral
855,neutral
860,neutral
865,neutral
870,neutral
875,neutral
880,neutral
885,neutral
890,neutral
895,neutral
900,neutral
905,neutral
910,neutral
915,neutral
920,neutral
925,neutral
930,neutral
935,neutral
940,neutral
945,neutral
950,neutral
955,neutral
960,neutral
965,neutral
970,neutral
975,neutral
980,neutral
985,neutral
990,neutral
995,neutral
1000,neutral
1005,neutral
1010,neutral
1015,neutral
1020,neutral
1025,neutral
1030,neutral
1035,neutral
1040,neutral
1045,neutral
1050,neutral
1055,neutral
1060,neutral
1065,neutral
1070,neutral
1075,neutral
1080,neutral
1085,neutral
1090,neutral
1095,neutral
1100,neutral
1105,neutral
1110,neutral
1115,neutral
1120,neutral
1125,neutral
1130,neutral
1135,neutral
1140,neutral
1145,neutral
1150,neutral
1155,neutral
1160,neutral
1165,neutral
1170,neutral
1175,neutral
1180,neutral
1185,neutral
1190,neutral
1195,neutral
1200,neutral
1205,neutral
1210,neutral
1215,neutral
1220,neutral
1225,neutral
1230,neutral
1235,neutral
1240,neutral
1245,neutral
1250,neutral
1255,neutral
1260,neutral
1265,neutral
1270,neutral
1275,neutral
1280,neutral
1285,neutral
1290,neutral
1295,neutral
1300,neutral
1305,neutral
1310,neutral
1315,neutral
1320,neutral
1325,neutral
1330,neutral
1335,neutral
1340,neutral
1345,neutral
1350,neutral
1355,neutral
1360,neutral
1365,neutral
1370,neutral
1375,neutral
1380,neutral
1385,neutral
1390,neutral
1395,neutral
1400,neutral
1405,neutral
1410,neutral
1415,neutral
1420,neutral
1425,neutral
1430,neutral
1435,neutral
1440,neutral
1445,neutral
1450,neutral
1455,neutral
1460,neutral
1465,neutral
1470,neutral
1475,neutral
1480,neutral
